lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,pgout,ppgout,pgfree,pgscan,atch,pgin,ppgin,pflt,vflt,runqsz,freemem,freeswap,usr
5.0,0.0,2091.0,250.0,199.0,3.2,1.0,116897.0,48437.0,5.8,11.0,8.2,0.0,1.0,1.0,1.0,160.2,231.8,1.6,197.0,1750514.0,87.0
53.0,78.0,1163.0,90.0,205.0,1.4,7.6,8742.0,517416.0,0.0,0.0,0.0,0.0,0.0,18.0,19.8,72.6,201.4,2.0,1570.0,1042291.0,87.0
4.0,0.0,1799.0,313.0,115.0,0.8,3.4,904098.0,27923.0,0.4,0.4,0.4,0.0,0.2,2.8,5.4,45.6,84.4,4.6,159.0,1110357.0,91.0
10.0,15.0,220.0,19.0,30.0,0.2,0.2,15758.0,32757.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.63,16.83,1.4,2033.0,1770843.0,88.0
14.0,3.0,3117.0,457.0,400.0,5.21,2.0,143833.0,30140.0,1.8,2.0,2.0,0.0,0.2,1.2,1.2,266.13,374.15,3.0,291.0,969090.0,79.0
2.0,0.0,1177.0,136.0,61.0,0.2,0.2,124566.0,69960.0,0.0,0.0,0.0,0.0,0.0,2.81,3.61,16.03,41.68,1.0,711.0,1063202.0,96.0
27.0,11.0,3540.0,490.0,233.0,6.21,10.02,256042.0,29123.0,0.6,0.6,0.6,0.0,3.21,22.04,48.7,377.15,737.07,1.0,564.0,1103211.0,66.0
2.0,1.0,1602.0,183.0,143.0,0.6,1.0,108632.0,43802.0,1.2,1.4,1.4,0.0,1.2,0.2,0.2,50.4,56.4,1.3,289.0,1110890.0,91.0
7.0,0.0,1660.0,259.0,206.0,1.6,8.0,34805.0,30923.0,2.6,13.2,59.2,91.8,0.2,5.8,8.2,244.6,223.0,3.0,136.0,1688477.0,86.0
31.0,46.0,1251.0,90.0,74.0,0.6,2.0,3967.0,15469.0,0.2,0.4,0.4,0.0,0.2,3.0,3.0,39.2,46.0,1.7,189.0,1098888.0,93.0
1.0,0.0,1945.0,213.0,98.0,0.6,0.6,668372.0,43269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.4,46.4,3.2,1059.0,1723270.0,90.0
11.0,7.0,2207.0,147.0,111.0,0.4,0.6,53375.0,91504.0,9.6,36.2,89.0,199.6,1.0,2.8,3.0,64.0,143.2,1.0,319.0,1060714.0,89.0
299.0,186.0,2326.0,148.0,88.0,3.4,3.4,418189.0,131463.0,0.0,0.0,0.0,0.0,27.6,11.2,13.4,159.6,270.4,4.6,2343.0,1730554.0,83.0
46.0,0.0,4677.0,212.0,131.0,11.4,34.2,441971.0,35914.0,5.6,39.2,57.4,98.6,1.8,45.4,73.6,399.6,779.6,2.8,211.0,1107467.0,58.0
3.0,1.0,579.0,57.0,39.0,2.0,2.0,151855.0,149247.0,0.0,0.0,0.0,0.0,0.0,1.8,1.8,200.2,155.8,1.6,5528.0,1842536.0,90.0
9.0,2.0,840.0,120.0,60.0,2.6,2.4,98182.0,68589.0,0.0,0.0,0.0,0.0,0.2,31.0,35.6,217.2,279.6,4.2,611.0,1717547.0,85.0
